sku_id,abc_class,avg_daily_demand,stddev_daily_demand,supplier_lead_time_days,service_level_z,safety_stock_units,reorder_point_units,moq_units
SKU0131,C,75.18,37.73,4,1.28,96.6,397.3,50
SKU0132,C,33.3,17.62,3,1.28,39.1,139.0,100
SKU0133,C,44.31,21.9,3,1.28,48.6,181.5,50
SKU0134,B,88.36,41.4,7,1.65,180.7,799.3,20
SKU0135,B,105.92,49.08,2,1.65,114.5,326.4,25
SKU0136,B,65.47,33.38,4,1.65,110.2,372.0,20
SKU0137,B,121.74,60.64,14,1.65,374.4,2078.7,25
SKU0138,C,100.5,48.12,3,1.28,106.7,408.2,25
SKU0139,C,122.42,58.32,3,1.28,129.3,496.6,50
SKU0140,B,112.83,56.76,2,1.65,132.4,358.1,10
SKU0141,B,129.57,61.83,14,1.65,381.7,2195.7,50
SKU0142,C,101.16,48.58,2,1.28,87.9,290.3,25
SKU0143,B,139.01,66.38,14,1.65,409.8,2356.0,100
SKU0144,C,77.09,36.69,2,1.28,66.4,220.6,100
SKU0145,B,64.46,30.07,7,1.65,131.3,582.5,100
SKU0146,C,85.6,42.76,2,1.28,77.4,248.6,25
SKU0147,B,100.23,49.34,7,1.65,215.4,917.0,100
SKU0148,B,117.58,55.93,2,1.65,130.5,365.7,50
SKU0149,C,79.86,38.96,4,1.28,99.7,419.2,50
SKU0150,C,49.47,24.62,3,1.28,54.6,203.0,50
