sku_id,abc_class,network_on_hand_units,reorder_point_units,safety_stock_units,avg_daily_demand,supplier_lead_time_days,action,suggested_order_qty
SKU0045,A,31.0,709.6,189.1,74.36,7,REORDER NOW,1720.0
SKU0049,A,0.0,581.6,180.5,80.22,5,REORDER NOW,1865.0
SKU0051,A,0.0,1195.9,281.0,91.49,10,REORDER NOW,2202.0
SKU0059,A,0.0,323.7,108.2,53.89,4,REORDER NOW,1240.0
SKU0062,A,0.0,309.8,110.1,66.57,3,REORDER NOW,1508.0
SKU0063,A,0.0,1085.2,258.8,82.64,10,REORDER NOW,1994.0
SKU0066,A,73.0,866.5,238.6,89.69,7,REORDER NOW,2049.0
SKU0068,A,29.0,1439.3,309.9,80.67,14,REORDER NOW,1975.0
SKU0071,A,0.0,450.9,131.3,63.92,5,REORDER NOW,1474.0
SKU0072,A,0.0,953.1,227.7,72.54,10,REORDER NOW,1751.0
SKU0076,A,0.0,580.9,136.1,44.48,10,REORDER NOW,1070.0
SKU0077,A,42.0,951.5,212.4,52.79,14,REORDER NOW,1279.0
SKU0083,A,0.0,234.0,90.4,47.84,3,REORDER NOW,1095.0
SKU0084,A,61.0,126.4,42.5,20.97,4,REORDER NOW,422.0
SKU0087,A,0.0,229.8,85.4,48.13,3,REORDER NOW,1096.0
SKU0089,A,50.0,250.5,78.5,42.99,4,REORDER NOW,931.0
SKU0094,A,60.0,189.8,65.1,31.17,4,REORDER NOW,660.0
SKU0098,A,0.0,344.5,108.6,47.18,5,REORDER NOW,1099.0
SKU0104,A,27.0,375.0,103.9,38.74,7,REORDER NOW,890.0
SKU0105,A,0.0,255.0,81.5,34.69,5,REORDER NOW,810.0
SKU0128,A,0.0,349.4,129.1,73.44,3,REORDER NOW,1671.0
SKU0004,B,0.0,67.1,23.0,14.69,3,REORDER NOW,331.0
SKU0026,B,31.0,48.1,15.6,8.14,4,REORDER NOW,156.0
SKU0033,B,0.0,42.8,15.3,9.17,3,REORDER NOW,208.0
SKU0039,B,0.0,72.2,25.4,15.59,3,REORDER NOW,353.0
SKU0042,B,0.0,179.9,50.5,25.87,5,REORDER NOW,594.0
SKU0047,B,0.0,174.6,54.1,40.19,3,REORDER NOW,898.0
SKU0048,B,0.0,726.4,150.5,57.59,10,REORDER NOW,1360.0
SKU0056,B,30.0,323.6,79.3,34.9,7,REORDER NOW,782.0
SKU0060,B,0.0,421.6,109.0,62.51,5,REORDER NOW,1422.0
SKU0061,B,0.0,264.2,75.2,47.24,4,REORDER NOW,1067.0
SKU0067,B,0.0,174.6,50.0,31.16,4,REORDER NOW,704.0
SKU0075,B,54.0,1089.5,204.5,63.21,14,REORDER NOW,1478.0
SKU0082,B,0.0,225.9,44.5,18.14,10,REORDER NOW,425.0
SKU0085,B,0.0,327.4,73.8,25.36,10,REORDER NOW,606.0
SKU0088,B,0.0,88.9,26.6,20.76,3,REORDER NOW,463.0
SKU0090,B,86.0,117.5,33.9,16.71,5,REORDER NOW,299.0
SKU0100,B,0.0,120.4,38.8,27.21,3,REORDER NOW,610.0
SKU0103,B,0.0,164.9,34.5,13.04,10,REORDER NOW,308.0
SKU0106,B,0.0,227.6,65.6,40.51,4,REORDER NOW,916.0
SKU0107,B,0.0,388.3,112.6,68.93,4,REORDER NOW,1560.0
SKU0109,B,58.0,549.5,132.4,59.59,7,REORDER NOW,1326.0
SKU0110,B,18.0,248.6,60.3,26.9,7,REORDER NOW,607.0
SKU0111,B,0.0,168.3,51.3,38.98,3,REORDER NOW,870.0
SKU0112,B,0.0,155.3,46.4,27.21,4,REORDER NOW,618.0
SKU0118,B,0.0,269.5,85.2,61.43,3,REORDER NOW,1375.0
SKU0119,B,0.0,230.4,67.1,40.84,4,REORDER NOW,925.0
SKU0120,B,0.0,208.9,66.1,47.6,3,REORDER NOW,1066.0
SKU0121,B,0.0,266.3,76.2,47.53,4,REORDER NOW,1074.0
SKU0124,B,58.0,695.6,163.4,76.03,7,REORDER NOW,1702.0
SKU0134,B,97.0,799.3,180.7,88.36,7,REORDER NOW,1939.0
SKU0136,B,0.0,372.0,110.2,65.47,4,REORDER NOW,1485.0
SKU0137,B,17.0,2078.7,374.4,121.74,14,REORDER NOW,2914.0
SKU0141,B,140.0,2195.7,381.7,129.57,14,REORDER NOW,2963.0
SKU0143,B,0.0,2356.0,409.8,139.01,14,REORDER NOW,3329.0
SKU0145,B,104.0,582.5,131.3,64.46,7,REORDER NOW,1381.0
SKU0147,B,55.0,917.0,215.4,100.23,7,REORDER NOW,2265.0
SKU0016,C,0.0,75.5,19.8,13.93,4,REORDER NOW,312.0
SKU0021,C,62.0,126.9,25.9,14.43,7,REORDER NOW,267.0
SKU0034,C,8.0,36.6,9.0,5.53,5,REORDER NOW,117.0
SKU0044,C,0.0,149.8,35.2,22.93,5,REORDER NOW,517.0
SKU0046,C,0.0,348.8,86.1,65.66,4,REORDER NOW,1465.0
SKU0050,C,0.0,321.3,82.8,79.48,3,REORDER NOW,1752.0
SKU0055,C,0.0,130.5,33.0,24.37,4,REORDER NOW,545.0
SKU0065,C,10.0,140.9,29.9,15.86,7,REORDER NOW,353.0
SKU0069,C,0.0,255.0,61.8,48.3,4,REORDER NOW,1076.0
SKU0070,C,0.0,193.3,47.9,36.34,4,REORDER NOW,811.0
SKU0074,C,0.0,206.2,36.8,16.94,10,REORDER NOW,393.0
SKU0079,C,11.0,75.3,18.5,11.36,5,REORDER NOW,246.0
SKU0080,C,42.0,328.2,63.4,37.84,7,REORDER NOW,816.0
SKU0086,C,0.0,186.1,43.4,28.54,5,REORDER NOW,643.0
SKU0091,C,18.0,152.9,26.0,9.07,14,REORDER NOW,198.0
SKU0092,C,0.0,130.8,37.8,31.03,3,REORDER NOW,689.0
SKU0093,C,0.0,71.9,21.5,16.8,3,REORDER NOW,374.0
SKU0096,C,0.0,165.7,46.3,39.79,3,REORDER NOW,882.0
SKU0099,C,26.0,179.4,38.8,28.13,5,REORDER NOW,604.0
SKU0101,C,20.0,354.9,71.2,40.53,7,REORDER NOW,902.0
SKU0102,C,0.0,165.3,43.3,40.69,3,REORDER NOW,898.0
SKU0108,C,0.0,297.7,79.8,72.62,3,REORDER NOW,1605.0
SKU0115,C,185.0,291.8,57.7,33.44,7,REORDER NOW,575.0
SKU0116,C,0.0,216.5,49.5,33.4,5,REORDER NOW,751.0
SKU0117,C,0.0,124.5,34.3,30.06,3,REORDER NOW,666.0
SKU0122,C,24.0,727.6,110.2,44.1,14,REORDER NOW,1012.0
SKU0123,C,0.0,271.9,41.6,23.03,10,REORDER NOW,525.0
SKU0125,C,39.0,311.1,59.9,35.89,7,REORDER NOW,775.0
SKU0127,C,0.0,460.2,77.3,38.29,10,REORDER NOW,881.0
SKU0129,C,117.0,600.5,114.0,69.5,7,REORDER NOW,1457.0
SKU0130,C,0.0,261.9,61.5,40.08,5,REORDER NOW,903.0
SKU0131,C,0.0,397.3,96.6,75.18,4,REORDER NOW,1675.0
SKU0132,C,12.0,139.0,39.1,33.3,3,REORDER NOW,726.0
SKU0133,C,0.0,181.5,48.6,44.31,3,REORDER NOW,979.0
SKU0138,C,0.0,408.2,106.7,100.5,3,REORDER NOW,2217.0
SKU0139,C,0.0,496.6,129.3,122.42,3,REORDER NOW,2700.0
SKU0149,C,0.0,419.2,99.7,79.86,4,REORDER NOW,1777.0
SKU0150,C,0.0,203.0,54.6,49.47,3,REORDER NOW,1093.0
SKU0005,A,95.0,75.2,31.7,21.77,2,OK,394.0
SKU0011,A,84.0,76.2,34.4,20.89,2,OK,389.0
SKU0014,A,117.0,90.6,39.5,25.54,2,OK,459.0
SKU0022,A,99.0,30.6,14.0,8.32,2,OK,90.0
SKU0024,A,158.0,37.3,17.1,10.13,2,OK,100.0
SKU0027,A,92.0,28.7,13.2,7.79,2,OK,85.0
SKU0028,A,133.0,101.7,43.4,29.18,2,OK,523.0
SKU0052,A,299.0,222.9,90.9,66.0,2,OK,1178.0
SKU0054,A,348.0,274.0,115.0,79.5,2,OK,1437.0
SKU0058,A,271.0,205.1,84.9,60.13,2,OK,1077.0
SKU0126,A,238.0,188.0,78.5,54.71,2,OK,989.0
SKU0053,B,308.0,212.8,79.4,66.68,2,OK,1172.0
SKU0057,B,131.0,93.6,35.0,29.31,2,OK,520.0
SKU0064,B,116.0,82.0,32.6,24.68,2,OK,435.0
SKU0073,B,262.0,170.9,63.1,53.91,2,OK,933.0
SKU0081,B,213.0,154.4,60.2,47.1,2,OK,836.0
SKU0135,B,458.0,326.4,114.5,105.92,2,OK,1881.0
SKU0140,B,532.0,358.1,132.4,112.83,2,OK,1970.0
SKU0148,B,530.0,365.7,130.5,117.58,2,OK,2070.0
SKU0078,C,190.0,82.8,17.7,9.3,7,OK,100.0
SKU0095,C,124.0,98.1,22.9,18.82,4,OK,294.0
SKU0097,C,69.0,27.3,8.8,9.21,2,OK,133.0
SKU0113,C,134.0,85.6,24.7,30.46,2,OK,530.0
SKU0114,C,135.0,91.5,28.0,31.79,2,OK,561.0
SKU0142,C,450.0,290.3,87.9,101.16,2,OK,1762.0
SKU0144,C,332.0,220.6,66.4,77.09,2,OK,1353.0
SKU0146,C,393.0,248.6,77.4,85.6,2,OK,1482.0
