sku_id,sku_name,category,unit_cost,unit_price,supplier_lead_time_days,base_daily_demand,assigned_fcs,moq_units
SKU0055,Fashion Item 015,Fashion & Apparel,234.41,447.56,4,16.2,FC03|FC02|FC01,10
SKU0056,Fashion Item 016,Fashion & Apparel,1577.91,3017.1,7,23.5,FC04|FC01|FC03|FC02,10
SKU0057,Fashion Item 017,Fashion & Apparel,2029.53,3570.34,2,18.7,FC02|FC05,25
SKU0058,Fashion Item 018,Fashion & Apparel,1798.47,3200.1,2,38.6,FC01|FC02|FC03|FC04,50
SKU0059,Fashion Item 019,Fashion & Apparel,1961.64,3779.2,4,35.4,FC05|FC04|FC01,20
SKU0060,Fashion Item 020,Fashion & Apparel,775.48,1426.41,5,40.5,FC05|FC02|FC01,25
SKU0061,Fashion Item 021,Fashion & Apparel,749.53,1472.05,4,30.9,FC03|FC01,25
SKU0062,Fashion Item 022,Fashion & Apparel,1630.74,2896.41,3,42.6,FC01|FC03|FC02|FC04,20
SKU0063,Fashion Item 023,Fashion & Apparel,1253.62,2196.14,10,54.3,FC04|FC03|FC02,20
SKU0064,Fashion Item 024,Fashion & Apparel,1866.77,3397.31,2,15.8,FC05|FC02|FC01|FC04,10
SKU0065,Fashion Item 025,Fashion & Apparel,834.42,1460.41,7,10.7,FC05|FC03|FC02|FC01,10
SKU0066,Fashion Item 026,Fashion & Apparel,973.59,1649.2,7,59.8,FC03|FC04|FC01,20
SKU0067,Fashion Item 027,Fashion & Apparel,1353.69,2670.29,4,20.5,FC01|FC03,100
SKU0068,Fashion Item 028,Fashion & Apparel,2196.83,3958.79,14,52.0,FC03|FC05,20
SKU0069,Fashion Item 029,Fashion & Apparel,340.72,595.18,4,31.7,FC01|FC02,100
SKU0070,Fashion Item 030,Fashion & Apparel,244.4,464.2,4,24.6,FC02|FC01|FC03,20
SKU0071,Fashion Item 031,Fashion & Apparel,1922.57,3420.28,5,42.5,FC02|FC05|FC01|FC03,20
SKU0072,Fashion Item 032,Fashion & Apparel,1877.71,3423.57,10,48.4,FC05|FC02|FC04,100
SKU0073,Fashion Item 033,Fashion & Apparel,857.39,1559.19,2,36.6,FC05|FC03|FC04,10
SKU0074,Fashion Item 034,Fashion & Apparel,811.88,1552.77,10,11.2,FC02|FC01|FC04,10
SKU0075,Fashion Item 035,Fashion & Apparel,753.95,1327.68,14,41.7,FC03|FC02|FC05,100
SKU0076,Home Item 001,Home & Kitchen,2822.15,4379.04,10,28.5,FC03|FC04,25
SKU0077,Home Item 002,Home & Kitchen,2094.6,3407.0,14,34.1,FC04|FC05,50
SKU0078,Home Item 003,Home & Kitchen,1245.44,2208.66,7,6.2,FC05|FC03|FC04,100
SKU0079,Home Item 004,Home & Kitchen,1624.6,2586.14,5,7.5,FC03|FC02|FC05|FC01,20
SKU0080,Home Item 005,Home & Kitchen,270.81,481.45,7,25.3,FC05|FC01|FC04|FC03,10
SKU0081,Home Item 006,Home & Kitchen,953.83,1559.3,2,30.7,FC05|FC03|FC01,25
SKU0082,Home Item 007,Home & Kitchen,3325.07,5393.68,10,12.1,FC05|FC04|FC03,25
SKU0083,Home Item 008,Home & Kitchen,1446.68,2501.25,3,31.6,FC02|FC03,50
SKU0084,Home Item 009,Home & Kitchen,3163.01,4882.1,4,13.9,FC03|FC01,100
SKU0085,Home Item 010,Home & Kitchen,2597.44,4264.11,10,16.8,FC05|FC02|FC01,10
SKU0086,Home Item 011,Home & Kitchen,758.83,1370.48,5,18.6,FC02|FC04|FC05,50
SKU0087,Home Item 012,Home & Kitchen,1932.58,3335.97,3,31.9,FC03|FC02|FC04,50
SKU0088,Home Item 013,Home & Kitchen,2228.59,3625.32,3,14.0,FC04|FC01|FC02,20
SKU0089,Home Item 014,Home & Kitchen,2170.24,3455.64,4,28.5,FC04|FC03|FC05,100
SKU0090,Home Item 015,Home & Kitchen,3410.31,5433.81,5,10.6,FC04|FC02,100
SKU0091,Home Item 016,Home & Kitchen,1883.29,3172.85,14,6.1,FC01|FC02,20
SKU0092,Home Item 017,Home & Kitchen,344.95,579.08,3,20.5,FC04|FC01,20
SKU0093,Home Item 018,Home & Kitchen,340.51,550.07,3,11.2,FC02|FC05|FC01,10
SKU0094,Home Item 019,Home & Kitchen,2872.69,5203.03,4,20.2,FC04|FC02|FC03,100
SKU0095,Home Item 020,Home & Kitchen,996.29,1709.02,4,12.3,FC01|FC04|FC02,100
SKU0096,Home Item 021,Home & Kitchen,286.61,480.7,3,26.3,FC01|FC02,100
SKU0097,Home Item 022,Home & Kitchen,144.06,252.71,2,5.9,FC05|FC02|FC01,25
SKU0098,Home Item 023,Home & Kitchen,2831.73,5125.72,5,30.6,FC04|FC05,100
SKU0099,Home Item 024,Home & Kitchen,1071.53,1673.73,5,18.6,FC03|FC02|FC05|FC01,50
SKU0100,Home Item 025,Home & Kitchen,2109.66,3683.26,3,17.4,FC04|FC01,20
SKU0101,Home Item 026,Home & Kitchen,175.7,309.4,7,26.8,FC02|FC03|FC01,25
SKU0102,Home Item 027,Home & Kitchen,526.16,929.95,3,25.8,FC02|FC04|FC01,10
SKU0103,Home Item 028,Home & Kitchen,3623.75,5958.89,10,8.8,FC04|FC02|FC05|FC01,10
SKU0104,Home Item 029,Home & Kitchen,2116.63,3647.49,7,24.9,FC03|FC01,20
SKU0105,Home Item 030,Home & Kitchen,3035.96,5267.55,5,23.3,FC03|FC04|FC05,25
SKU0106,Beauty Item 001,Beauty & Personal Care,1033.83,1919.21,4,26.8,FC04|FC01,25
SKU0107,Beauty Item 002,Beauty & Personal Care,504.04,1078.11,4,45.6,FC01|FC02|FC05,10
SKU0108,Beauty Item 003,Beauty & Personal Care,305.55,577.9,3,46.5,FC03|FC04|FC05,20
SKU0109,Beauty Item 004,Beauty & Personal Care,695.83,1339.85,7,39.2,FC02|FC01|FC04,100
SKU0110,Beauty Item 005,Beauty & Personal Care,942.73,2014.43,7,18.2,FC01|FC05,20
SKU0111,Beauty Item 006,Beauty & Personal Care,969.27,1825.35,3,25.8,FC05|FC02|FC03,50
SKU0112,Beauty Item 007,Beauty & Personal Care,1165.89,2343.92,4,17.9,FC01|FC02|FC03,50
SKU0113,Beauty Item 008,Beauty & Personal Care,490.13,913.75,2,19.7,FC04|FC05|FC02|FC03,10
SKU0114,Beauty Item 009,Beauty & Personal Care,672.5,1351.83,2,20.4,FC01|FC02|FC04,25
SKU0115,Beauty Item 010,Beauty & Personal Care,175.11,364.66,7,21.8,FC03|FC02|FC05|FC01,100
SKU0116,Beauty Item 011,Beauty & Personal Care,127.82,271.37,5,22.2,FC04|FC05,50
SKU0117,Beauty Item 012,Beauty & Personal Care,662.83,1400.67,3,20.1,FC04|FC02|FC01|FC03,20
SKU0118,Beauty Item 013,Beauty & Personal Care,557.6,1070.65,3,40.9,FC03|FC05|FC01|FC04,20
SKU0119,Beauty Item 014,Beauty & Personal Care,1010.65,2130.55,4,26.5,FC05|FC04,100
SKU0120,Beauty Item 015,Beauty & Personal Care,1070.74,2197.98,3,31.2,FC01|FC02,100
SKU0121,Beauty Item 016,Beauty & Personal Care,1164.57,2230.17,4,30.7,FC05|FC02|FC03,10
SKU0122,Beauty Item 017,Beauty & Personal Care,214.79,400.59,14,29.3,FC02|FC03,20
SKU0123,Beauty Item 018,Beauty & Personal Care,326.75,706.64,10,14.8,FC03|FC01|FC04,25
SKU0124,Beauty Item 019,Beauty & Personal Care,653.35,1375.53,7,49.5,FC05|FC04|FC02,100
SKU0125,Beauty Item 020,Beauty & Personal Care,426.11,918.33,7,23.7,FC01|FC04|FC05,20
SKU0126,Beauty Item 021,Beauty & Personal Care,1146.55,2316.08,2,35.6,FC01|FC04|FC05|FC03,10
SKU0127,Beauty Item 022,Beauty & Personal Care,237.21,464.58,10,25.7,FC04|FC02|FC03,50
SKU0128,Beauty Item 023,Beauty & Personal Care,765.79,1538.27,3,48.0,FC01|FC04,100
SKU0129,Beauty Item 024,Beauty & Personal Care,97.02,195.61,7,45.7,FC02|FC04|FC05|FC01,100
SKU0130,Beauty Item 025,Beauty & Personal Care,507.77,978.21,5,26.1,FC03|FC02|FC04,25
SKU0131,Grocery Item 001,Grocery & Essentials,452.89,663.72,4,48.6,FC01|FC04,50
SKU0132,Grocery Item 002,Grocery & Essentials,482.47,671.74,3,21.4,FC01|FC04,100
SKU0133,Grocery Item 003,Grocery & Essentials,203.67,283.35,3,29.1,FC05|FC02,50
SKU0134,Grocery Item 004,Grocery & Essentials,609.22,913.81,7,57.9,FC04|FC02|FC05|FC03,20
SKU0135,Grocery Item 005,Grocery & Essentials,672.45,976.32,2,68.0,FC05|FC03|FC04,25
SKU0136,Grocery Item 006,Grocery & Essentials,693.89,938.14,4,42.6,FC02|FC05|FC03,20
SKU0137,Grocery Item 007,Grocery & Essentials,684.72,916.04,14,79.0,FC04|FC03|FC02,25
SKU0138,Grocery Item 008,Grocery & Essentials,323.8,482.63,3,65.1,FC03|FC02,25
SKU0139,Grocery Item 009,Grocery & Essentials,188.93,256.91,3,80.2,FC02|FC01,50
SKU0140,Grocery Item 010,Grocery & Essentials,558.08,846.22,2,74.2,FC05|FC04|FC02,10
SKU0141,Grocery Item 011,Grocery & Essentials,321.5,450.66,14,85.3,FC04|FC01,50
SKU0142,Grocery Item 012,Grocery & Essentials,227.46,306.1,2,66.4,FC03|FC02|FC01|FC04,25
SKU0143,Grocery Item 013,Grocery & Essentials,502.58,700.85,14,89.4,FC04|FC01|FC05,100
SKU0144,Grocery Item 014,Grocery & Essentials,244.46,351.41,2,49.7,FC03|FC02|FC05,100
SKU0145,Grocery Item 015,Grocery & Essentials,572.68,829.17,7,42.5,FC04|FC05|FC01|FC02,100
SKU0146,Grocery Item 016,Grocery & Essentials,92.76,140.29,2,57.4,FC05|FC01,25
SKU0147,Grocery Item 017,Grocery & Essentials,508.53,784.89,7,65.7,FC05|FC01,100
SKU0148,Grocery Item 018,Grocery & Essentials,585.3,830.97,2,77.3,FC03|FC05|FC02,50
SKU0149,Grocery Item 019,Grocery & Essentials,384.38,527.97,4,52.5,FC03|FC02,50
SKU0150,Grocery Item 020,Grocery & Essentials,105.86,161.96,3,32.3,FC03|FC02|FC01|FC05,50
