sku_id,fc_id,on_hand_units,supplier_lead_time_days,moq_units
SKU0059,FC05,0,4,20
SKU0059,FC04,0,4,20
SKU0059,FC01,0,4,20
SKU0060,FC05,0,5,25
SKU0060,FC02,0,5,25
SKU0060,FC01,0,5,25
SKU0061,FC03,0,4,25
SKU0061,FC01,0,4,25
SKU0062,FC01,0,3,20
SKU0062,FC03,0,3,20
SKU0062,FC02,0,3,20
SKU0062,FC04,0,3,20
SKU0063,FC04,0,10,20
SKU0063,FC03,0,10,20
SKU0063,FC02,0,10,20
SKU0064,FC05,26,2,10
SKU0064,FC02,30,2,10
SKU0064,FC01,30,2,10
SKU0064,FC04,30,2,10
SKU0065,FC05,6,7,10
SKU0065,FC03,4,7,10
SKU0065,FC02,0,7,10
SKU0065,FC01,0,7,10
SKU0066,FC03,0,7,20
SKU0066,FC04,40,7,20
SKU0066,FC01,33,7,20
SKU0067,FC01,0,4,100
SKU0067,FC03,0,4,100
SKU0068,FC03,20,14,20
SKU0068,FC05,9,14,20
SKU0069,FC01,0,4,100
SKU0069,FC02,0,4,100
SKU0070,FC02,0,4,20
SKU0070,FC01,0,4,20
SKU0070,FC03,0,4,20
SKU0071,FC02,0,5,20
SKU0071,FC05,0,5,20
SKU0071,FC01,0,5,20
SKU0071,FC03,0,5,20
SKU0072,FC05,0,10,100
SKU0072,FC02,0,10,100
SKU0072,FC04,0,10,100
SKU0073,FC05,89,2,10
SKU0073,FC03,81,2,10
SKU0073,FC04,92,2,10
SKU0074,FC02,0,10,10
SKU0074,FC01,0,10,10
SKU0074,FC04,0,10,10
SKU0075,FC03,17,14,100
SKU0075,FC02,23,14,100
SKU0075,FC05,14,14,100
SKU0076,FC03,0,10,25
SKU0076,FC04,0,10,25
SKU0077,FC04,22,14,50
SKU0077,FC05,20,14,50
SKU0078,FC05,90,7,100
SKU0078,FC03,47,7,100
SKU0078,FC04,53,7,100
SKU0079,FC03,4,5,20
SKU0079,FC02,0,5,20
SKU0079,FC05,0,5,20
SKU0079,FC01,7,5,20
SKU0080,FC05,7,7,10
SKU0080,FC01,14,7,10
SKU0080,FC04,6,7,10
SKU0080,FC03,15,7,10
SKU0081,FC05,66,2,25
SKU0081,FC03,75,2,25
SKU0081,FC01,72,2,25
SKU0082,FC05,0,10,25
SKU0082,FC04,0,10,25
SKU0082,FC03,0,10,25
SKU0083,FC02,0,3,50
SKU0083,FC03,0,3,50
SKU0084,FC03,20,4,100
SKU0084,FC01,41,4,100
SKU0085,FC05,0,10,10
SKU0085,FC02,0,10,10
SKU0085,FC01,0,10,10
SKU0086,FC02,0,5,50
SKU0086,FC04,0,5,50
SKU0086,FC05,0,5,50
SKU0087,FC03,0,3,50
SKU0087,FC02,0,3,50
SKU0087,FC04,0,3,50
SKU0088,FC04,0,3,20
SKU0088,FC01,0,3,20
SKU0088,FC02,0,3,20
SKU0089,FC04,27,4,100
SKU0089,FC03,0,4,100
SKU0089,FC05,23,4,100
SKU0090,FC04,48,5,100
SKU0090,FC02,38,5,100
SKU0091,FC01,7,14,20
SKU0091,FC02,11,14,20
SKU0092,FC04,0,3,20
SKU0092,FC01,0,3,20
SKU0093,FC02,0,3,10
SKU0093,FC05,0,3,10
SKU0093,FC01,0,3,10
SKU0094,FC04,18,4,100
SKU0094,FC02,0,4,100
SKU0094,FC03,42,4,100
SKU0095,FC01,69,4,100
SKU0095,FC04,55,4,100
SKU0095,FC02,0,4,100
SKU0096,FC01,0,3,100
SKU0096,FC02,0,3,100
SKU0097,FC05,23,2,25
SKU0097,FC02,20,2,25
SKU0097,FC01,26,2,25
SKU0098,FC04,0,5,100
SKU0098,FC05,0,5,100
SKU0099,FC03,9,5,50
SKU0099,FC02,0,5,50
SKU0099,FC05,17,5,50
SKU0099,FC01,0,5,50
SKU0100,FC04,0,3,20
SKU0100,FC01,0,3,20
SKU0101,FC02,0,7,25
SKU0101,FC03,20,7,25
SKU0101,FC01,0,7,25
SKU0102,FC02,0,3,10
SKU0102,FC04,0,3,10
SKU0102,FC01,0,3,10
SKU0103,FC04,0,10,10
SKU0103,FC02,0,10,10
SKU0103,FC05,0,10,10
SKU0103,FC01,0,10,10
SKU0104,FC03,24,7,20
SKU0104,FC01,3,7,20
SKU0105,FC03,0,5,25
SKU0105,FC04,0,5,25
SKU0105,FC05,0,5,25
SKU0106,FC04,0,4,25
SKU0106,FC01,0,4,25
SKU0107,FC01,0,4,10
SKU0107,FC02,0,4,10
SKU0107,FC05,0,4,10
SKU0108,FC03,0,3,20
SKU0108,FC04,0,3,20
SKU0108,FC05,0,3,20
SKU0109,FC02,30,7,100
SKU0109,FC01,9,7,100
SKU0109,FC04,19,7,100
SKU0110,FC01,0,7,20
SKU0110,FC05,18,7,20
SKU0111,FC05,0,3,50
SKU0111,FC02,0,3,50
SKU0111,FC03,0,3,50
SKU0112,FC01,0,4,50
SKU0112,FC02,0,4,50
SKU0112,FC03,0,4,50
SKU0113,FC04,40,2,10
SKU0113,FC05,35,2,10
SKU0113,FC02,28,2,10
SKU0113,FC03,31,2,10
SKU0114,FC01,47,2,25
SKU0114,FC02,42,2,25
SKU0114,FC04,46,2,25
SKU0115,FC03,0,7,100
SKU0115,FC02,68,7,100
SKU0115,FC05,56,7,100
SKU0115,FC01,61,7,100
SKU0116,FC04,0,5,50
SKU0116,FC05,0,5,50
SKU0117,FC04,0,3,20
SKU0117,FC02,0,3,20
SKU0117,FC01,0,3,20
SKU0117,FC03,0,3,20
SKU0118,FC03,0,3,20
SKU0118,FC05,0,3,20
SKU0118,FC01,0,3,20
SKU0118,FC04,0,3,20
SKU0119,FC05,0,4,100
SKU0119,FC04,0,4,100
SKU0120,FC01,0,3,100
SKU0120,FC02,0,3,100
SKU0121,FC05,0,4,10
SKU0121,FC02,0,4,10
SKU0121,FC03,0,4,10
SKU0122,FC02,24,14,20
SKU0122,FC03,0,14,20
SKU0123,FC03,0,10,25
SKU0123,FC01,0,10,25
SKU0123,FC04,0,10,25
SKU0124,FC05,24,7,100
SKU0124,FC04,15,7,100
SKU0124,FC02,19,7,100
SKU0125,FC01,5,7,20
SKU0125,FC04,18,7,20
SKU0125,FC05,16,7,20
SKU0126,FC01,60,2,10
SKU0126,FC04,63,2,10
SKU0126,FC05,59,2,10
SKU0126,FC03,56,2,10
SKU0127,FC04,0,10,50
SKU0127,FC02,0,10,50
SKU0127,FC03,0,10,50
SKU0128,FC01,0,3,100
SKU0128,FC04,0,3,100
SKU0129,FC02,16,7,100
SKU0129,FC04,32,7,100
SKU0129,FC05,33,7,100
SKU0129,FC01,36,7,100
SKU0130,FC03,0,5,25
SKU0130,FC02,0,5,25
SKU0130,FC04,0,5,25
SKU0131,FC01,0,4,50
SKU0131,FC04,0,4,50
SKU0132,FC01,12,3,100
SKU0132,FC04,0,3,100
SKU0133,FC05,0,3,50
SKU0133,FC02,0,3,50
SKU0134,FC04,22,7,20
SKU0134,FC02,11,7,20
SKU0134,FC05,29,7,20
SKU0134,FC03,35,7,20
SKU0135,FC05,150,2,25
SKU0135,FC03,163,2,25
SKU0135,FC04,145,2,25
SKU0136,FC02,0,4,20
SKU0136,FC05,0,4,20
SKU0136,FC03,0,4,20
SKU0137,FC04,3,14,25
SKU0137,FC03,0,14,25
SKU0137,FC02,14,14,25
SKU0138,FC03,0,3,25
SKU0138,FC02,0,3,25
SKU0139,FC02,0,3,50
SKU0139,FC01,0,3,50
SKU0140,FC05,180,2,10
SKU0140,FC04,172,2,10
SKU0140,FC02,180,2,10
SKU0141,FC04,44,14,50
SKU0141,FC01,96,14,50
SKU0142,FC03,114,2,25
SKU0142,FC02,100,2,25
SKU0142,FC01,124,2,25
SKU0142,FC04,112,2,25
SKU0143,FC04,0,14,100
SKU0143,FC01,0,14,100
SKU0143,FC05,0,14,100
SKU0144,FC03,105,2,100
SKU0144,FC02,113,2,100
SKU0144,FC05,114,2,100
SKU0145,FC04,36,7,100
SKU0145,FC05,40,7,100
SKU0145,FC01,28,7,100
SKU0145,FC02,0,7,100
SKU0146,FC05,192,2,25
SKU0146,FC01,201,2,25
SKU0147,FC05,19,7,100
SKU0147,FC01,36,7,100
SKU0148,FC03,175,2,50
SKU0148,FC05,181,2,50
SKU0148,FC02,174,2,50
SKU0149,FC03,0,4,50
SKU0149,FC02,0,4,50
SKU0150,FC03,0,3,50
SKU0150,FC02,0,3,50
SKU0150,FC01,0,3,50
SKU0150,FC05,0,3,50
