sku_id,category,units_sold_12m,revenue_12m,gross_margin_12m,revenue_rank,cumulative_pct_revenue,abc_class
SKU0009,Mobiles & Accessories,4182,60306656.46,13574688.36,29,58.07,A
SKU0011,Mobiles & Accessories,5545,59623666.05,9528195.3,30,58.99,A
SKU0071,Fashion & Apparel,17411,59550495.08,26076628.81,31,59.91,A
SKU0025,Electronics & Appliances,6147,58283456.67,14202028.8,32,60.81,A
SKU0005,Mobiles & Accessories,5756,56929142.4,11607664.72,33,61.69,A
SKU0017,Mobiles & Accessories,11026,56159828.4,8175999.52,34,62.56,A
SKU0059,Fashion & Apparel,14614,55229228.8,26561821.84,35,63.42,A
SKU0008,Mobiles & Accessories,12175,53013237.25,13218275.75,36,64.24,A
SKU0019,Mobiles & Accessories,3896,52579091.36,10926955.36,37,65.05,A
SKU0058,Fashion & Apparel,16170,51745617.0,22664357.1,38,65.85,A
SKU0062,Fashion & Apparel,17730,51353349.3,22440329.1,39,66.64,A
SKU0010,Mobiles & Accessories,7652,50608644.56,12982995.36,40,67.43,A
SKU0105,Home & Kitchen,9456,49809952.8,21101915.04,41,68.2,A
SKU0076,Home & Kitchen,11314,49544458.56,17614653.46,42,68.96,A
SKU0013,Mobiles & Accessories,5113,49508463.18,12514783.32,43,69.73,A
SKU0094,Home & Kitchen,9172,47722191.16,21373878.48,44,70.47,A
SKU0063,Fashion & Apparel,21567,47364151.38,20327328.84,45,71.2,A
SKU0089,Home & Kitchen,12997,44912953.08,16706343.8,46,71.9,A
SKU0077,Home & Kitchen,13098,44624886.0,17189815.2,47,72.59,A
SKU0087,Home & Kitchen,13141,43837981.77,18441947.99,48,73.27,A
SKU0024,Electronics & Appliances,3305,40982066.1,6781959.15,49,73.9,A
SKU0041,Fashion & Apparel,15051,40841942.07,17284869.42,50,74.53,A
SKU0066,Fashion & Apparel,23537,38817220.4,15901832.57,51,75.13,A
SKU0045,Fashion & Apparel,19007,38454012.05,17227754.73,52,75.73,A
SKU0104,Home & Kitchen,9743,35537495.07,14915168.98,53,76.28,A
SKU0126,Beauty & Personal Care,14773,34215449.84,17277466.69,54,76.81,A
SKU0083,Home & Kitchen,13115,32803893.75,13830685.55,55,77.31,A
SKU0022,Electronics & Appliances,2653,32135550.23,5321069.04,56,77.81,A
SKU0084,Home & Kitchen,6369,31094094.9,10948884.21,57,78.29,A
SKU0038,Electronics & Appliances,4563,30783549.42,6633826.29,58,78.77,A
SKU0128,Beauty & Personal Care,19982,30737711.14,15435695.36,59,79.24,A
SKU0012,Mobiles & Accessories,5924,28847984.32,5765710.72,60,79.69,A
SKU0039,Electronics & Appliances,4118,28730874.2,6400113.24,61,80.13,B
SKU0120,Beauty & Personal Care,13059,28703420.82,14720627.16,62,80.58,B
SKU0121,Beauty & Personal Care,12783,28508263.11,13621564.8,63,81.02,B
SKU0057,Fashion & Apparel,7836,27977184.24,12073787.16,64,81.45,B
SKU0137,Grocery & Essentials,30493,27932807.72,7053640.76,65,81.88,B
SKU0135,Grocery & Essentials,28604,27926657.28,8691897.48,66,82.32,B
SKU0085,Home & Kitchen,6534,27861694.74,10890021.78,67,82.75,B
SKU0056,Fashion & Apparel,9097,27446558.7,13092311.43,68,83.17,B
SKU0148,Grocery & Essentials,32436,26953342.92,7968552.12,69,83.59,B
SKU0124,Beauty & Personal Care,19535,26870978.55,14107786.3,70,84.0,B
SKU0100,Home & Kitchen,7227,26618920.02,11372407.2,71,84.42,B
SKU0090,Home & Kitchen,4873,26478956.13,9860515.5,72,84.83,B
SKU0140,Grocery & Essentials,31126,26339443.72,8968645.64,73,85.23,B
SKU0082,Home & Kitchen,4840,26105411.2,10012072.4,74,85.64,B
SKU0048,Fashion & Apparel,14938,25652728.64,11025289.66,75,86.03,B
SKU0067,Fashion & Apparel,9263,24734896.27,12195665.8,76,86.42,B
SKU0143,Grocery & Essentials,34491,24173017.35,6838530.57,77,86.79,B
SKU0073,Fashion & Apparel,15337,23913297.03,10763506.6,78,87.16,B
SKU0119,Beauty & Personal Care,11148,23751371.4,12484645.2,79,87.53,B
SKU0060,Fashion & Apparel,16439,23448753.99,10700638.27,80,87.89,B
SKU0064,Fashion & Apparel,6527,22174242.37,9989834.58,81,88.23,B
SKU0004,Mobiles & Accessories,3845,21803149.4,4453509.7,82,88.57,B
SKU0075,Fashion & Apparel,16257,21584093.76,9327128.61,83,88.91,B
SKU0109,Beauty & Personal Care,15869,21262079.65,10219953.38,84,89.23,B
SKU0106,Beauty & Personal Care,11031,21170805.51,9766626.78,85,89.56,B
SKU0134,Grocery & Essentials,22853,20883299.93,6960795.27,86,89.88,B
SKU0088,Home & Kitchen,5738,20802086.16,8014436.74,87,90.21,B
SKU0147,Grocery & Essentials,26065,20458157.85,7203323.4,88,90.52,B
SKU0107,Beauty & Personal Care,18754,20218874.94,10766108.78,89,90.84,B
SKU0103,Home & Kitchen,3353,19980158.17,7829724.42,90,91.14,B
SKU0081,Home & Kitchen,12760,19896668.0,7725797.2,91,91.45,B
SKU0111,Beauty & Personal Care,10735,19595132.25,9190018.8,92,91.76,B
SKU0042,Fashion & Apparel,6728,19307678.0,8075551.12,93,92.05,B
SKU0061,Fashion & Apparel,12793,18831935.65,9243198.36,94,92.35,B
SKU0053,Fashion & Apparel,18079,18664036.44,7724433.54,95,92.63,B
SKU0112,Beauty & Personal Care,7801,18284919.92,9189812.03,96,92.92,B
SKU0118,Beauty & Personal Care,16864,18055441.6,8652075.2,97,93.2,B
SKU0033,Electronics & Appliances,2338,16736058.64,2802677.5,98,93.46,B
SKU0136,Grocery & Essentials,17643,16551604.02,4309302.75,99,93.71,B
SKU0145,Grocery & Essentials,18911,15680433.87,4850482.39,100,93.95,B
SKU0026,Electronics & Appliances,2359,15629955.53,3092035.66,101,94.2,B
SKU0141,Grocery & Essentials,32804,14783450.64,4236964.64,102,94.43,B
SKU0110,Beauty & Personal Care,7043,14187630.49,7547983.1,103,94.64,B
SKU0047,Fashion & Apparel,10714,13927985.72,6434078.42,104,94.86,B
SKU0099,Home & Kitchen,8208,13737975.84,4942857.6,105,95.07,C
SKU0131,Grocery & Essentials,20227,13425064.44,4264458.41,106,95.28,C
SKU0138,Grocery & Essentials,27140,13098578.2,4310646.2,107,95.48,C
SKU0046,Fashion & Apparel,17692,12955497.76,6299944.28,108,95.68,C
SKU0016,Mobiles & Accessories,3968,12006176.0,2530631.68,109,95.87,C
SKU0149,Grocery & Essentials,21697,11455365.09,3115472.23,110,96.05,C
SKU0114,Beauty & Personal Care,8456,11431074.48,5744414.48,111,96.22,C
SKU0117,Beauty & Personal Care,8067,11299204.89,5952155.28,112,96.4,C
SKU0108,Beauty & Personal Care,19355,11185254.5,5271334.25,113,96.57,C
SKU0086,Home & Kitchen,7986,10944653.28,4884636.9,114,96.74,C
SKU0130,Beauty & Personal Care,10548,10318159.08,4962201.12,115,96.9,C
SKU0102,Home & Kitchen,10788,10032300.6,4356086.52,116,97.06,C
SKU0021,Electronics & Appliances,4000,9810680.0,2091200.0,117,97.21,C
SKU0095,Home & Kitchen,5551,9486770.02,3956364.23,118,97.35,C
SKU0079,Home & Kitchen,3341,8640293.74,3212505.14,119,97.49,C
SKU0139,Grocery & Essentials,33612,8635258.92,2284943.76,120,97.62,C
SKU0125,Beauty & Personal Care,9264,8507409.12,4559926.08,121,97.75,C
SKU0142,Grocery & Essentials,27656,8465501.6,2174867.84,122,97.88,C
SKU0069,Fashion & Apparel,13276,7901609.68,3378210.96,123,98.01,C
SKU0091,Home & Kitchen,2343,7433987.55,3021439.08,124,98.12,C
SKU0044,Fashion & Apparel,6012,7433958.24,3286339.56,125,98.24,C
SKU0050,Fashion & Apparel,21387,7368249.24,3345354.54,126,98.35,C
SKU0144,Grocery & Essentials,20938,7357822.58,2239319.1,127,98.46,C
SKU0113,Beauty & Personal Care,8021,7329188.75,3397856.02,128,98.58,C
SKU0074,Fashion & Apparel,4263,6619458.51,3158414.07,129,98.68,C
SKU0132,Grocery & Essentials,9630,6468856.2,1822670.1,130,98.78,C
SKU0078,Home & Kitchen,2816,6219586.56,2712427.52,131,98.88,C
SKU0065,Fashion & Apparel,4023,5875229.43,2518357.77,132,98.97,C
SKU0034,Electronics & Appliances,1711,5556523.83,1448053.52,133,99.05,C
SKU0096,Home & Kitchen,11006,5290584.2,2136154.54,134,99.13,C
SKU0092,Home & Kitchen,8370,4846899.6,1959668.1,135,99.21,C
SKU0080,Home & Kitchen,9846,4740356.7,2073961.44,136,99.28,C
SKU0127,Beauty & Personal Care,10130,4706195.4,2303258.1,137,99.36,C
SKU0070,Fashion & Apparel,10107,4691669.4,2221518.6,138,99.43,C
SKU0122,Beauty & Personal Care,11234,4500228.06,2087277.2,139,99.5,C
SKU0123,Beauty & Personal Care,5882,4156456.48,2234512.98,140,99.56,C
SKU0129,Beauty & Personal Care,20509,4011765.49,2021982.31,141,99.62,C
SKU0115,Beauty & Personal Care,9676,3528450.16,1834085.8,142,99.68,C
SKU0133,Grocery & Essentials,12130,3437035.5,966518.4,143,99.73,C
SKU0146,Grocery & Essentials,23936,3357981.44,1137678.08,144,99.78,C
SKU0101,Home & Kitchen,10514,3253031.6,1405721.8,145,99.83,C
SKU0055,Fashion & Apparel,6533,2923909.48,1392508.95,146,99.88,C
SKU0093,Home & Kitchen,4539,2496767.73,951192.84,147,99.92,C
SKU0116,Beauty & Personal Care,9069,2461054.53,1301854.95,148,99.96,C
SKU0150,Grocery & Essentials,13400,2170264.0,751740.0,149,99.99,C
SKU0097,Home & Kitchen,2613,660331.23,283902.45,150,100.0,C
