sku_id,sku_name,category,abc_class,on_hand_units,days_of_cover,supplier_lead_time_days,avg_daily_demand,forecast_demand_units,reorder_point_units,safety_stock_units,needs_reorder,urgency,suggested_order_qty,alert_message
SKU0017,Mobiles Item 017,Mobiles & Accessories,A,0,0.0,3,41.23,342.4,198.1,74.4,True,CRITICAL,906.0,"[CRITICAL] SKU0017 (Mobiles Item 017, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 342 units. Recommend ordering 906 units now."
SKU0018,Mobiles Item 018,Mobiles & Accessories,A,0,0.0,4,34.74,318.5,212.0,73.0,True,CRITICAL,892.0,"[CRITICAL] SKU0018 (Mobiles Item 018, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 318 units. Recommend ordering 892 units now."
SKU0019,Mobiles Item 019,Mobiles & Accessories,A,45,3.4,7,13.22,100.9,134.3,41.8,True,CRITICAL,300.0,"[CRITICAL] SKU0019 (Mobiles Item 019, Mobiles & Accessories, Class A): 45 units on hand = 3.4 days of cover vs 7-day lead time. Forecasted demand next week: 101 units. Recommend ordering 300 units now."
SKU0020,Mobiles Item 020,Mobiles & Accessories,A,44,0.9,7,48.81,454.9,476.9,135.3,True,CRITICAL,1456.0,"[CRITICAL] SKU0020 (Mobiles Item 020, Mobiles & Accessories, Class A): 44 units on hand = 0.9 days of cover vs 7-day lead time. Forecasted demand next week: 455 units. Recommend ordering 1456 units now."
SKU0025,Electronics Item 005,Electronics & Appliances,A,19,0.8,14,23.96,207.8,427.1,91.7,True,CRITICAL,904.0,"[CRITICAL] SKU0025 (Electronics Item 005, Electronics & Appliances, Class A): 19 units on hand = 0.8 days of cover vs 14-day lead time. Forecasted demand next week: 208 units. Recommend ordering 904 units now."
SKU0029,Electronics Item 009,Electronics & Appliances,A,0,0.0,10,19.89,176.5,259.6,60.7,True,CRITICAL,666.0,"[CRITICAL] SKU0029 (Electronics Item 009, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 176 units. Recommend ordering 666 units now."
SKU0030,Electronics Item 010,Electronics & Appliances,A,0,0.0,4,11.44,88.6,74.6,28.8,True,CRITICAL,257.0,"[CRITICAL] SKU0030 (Electronics Item 010, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 89 units. Recommend ordering 257 units now."
SKU0031,Electronics Item 011,Electronics & Appliances,A,0,0.0,10,21.23,177.3,283.3,71.0,True,CRITICAL,679.0,"[CRITICAL] SKU0031 (Electronics Item 011, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 177 units. Recommend ordering 679 units now."
SKU0032,Electronics Item 012,Electronics & Appliances,A,9,1.5,5,6.1,51.9,48.7,18.2,True,CRITICAL,150.0,"[CRITICAL] SKU0032 (Electronics Item 012, Electronics & Appliances, Class A): 9 units on hand = 1.5 days of cover vs 5-day lead time. Forecasted demand next week: 52 units. Recommend ordering 150 units now."
SKU0036,Electronics Item 016,Electronics & Appliances,A,0,0.0,4,15.37,133.2,94.3,32.8,True,CRITICAL,375.0,"[CRITICAL] SKU0036 (Electronics Item 016, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 133 units. Recommend ordering 375 units now."
SKU0037,Electronics Item 017,Electronics & Appliances,A,0,0.0,10,26.64,215.0,349.6,83.2,True,CRITICAL,820.0,"[CRITICAL] SKU0037 (Electronics Item 017, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 215 units. Recommend ordering 820 units now."
SKU0038,Electronics Item 018,Electronics & Appliances,A,0,0.0,10,17.63,150.3,240.7,64.4,True,CRITICAL,580.0,"[CRITICAL] SKU0038 (Electronics Item 018, Electronics & Appliances, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 150 units. Recommend ordering 580 units now."
SKU0040,Electronics Item 020,Electronics & Appliances,A,9,0.3,10,29.78,246.8,390.8,93.0,True,CRITICAL,930.0,"[CRITICAL] SKU0040 (Electronics Item 020, Electronics & Appliances, Class A): 9 units on hand = 0.3 days of cover vs 10-day lead time. Forecasted demand next week: 247 units. Recommend ordering 930 units now."
SKU0041,Fashion Item 001,Fashion & Apparel,A,0,0.0,5,55.38,498.4,412.4,135.5,True,CRITICAL,1488.0,"[CRITICAL] SKU0041 (Fashion Item 001, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 498 units. Recommend ordering 1488 units now."
SKU0043,Fashion Item 003,Fashion & Apparel,A,57,0.6,7,87.76,605.1,835.6,221.3,True,CRITICAL,1980.0,"[CRITICAL] SKU0043 (Fashion Item 003, Fashion & Apparel, Class A): 57 units on hand = 0.6 days of cover vs 7-day lead time. Forecasted demand next week: 605 units. Recommend ordering 1980 units now."
SKU0045,Fashion Item 005,Fashion & Apparel,A,31,0.4,7,74.36,603.7,709.6,189.1,True,CRITICAL,1969.0,"[CRITICAL] SKU0045 (Fashion Item 005, Fashion & Apparel, Class A): 31 units on hand = 0.4 days of cover vs 7-day lead time. Forecasted demand next week: 604 units. Recommend ordering 1969 units now."
SKU0049,Fashion Item 009,Fashion & Apparel,A,0,0.0,5,80.22,603.1,581.6,180.5,True,CRITICAL,1817.0,"[CRITICAL] SKU0049 (Fashion Item 009, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 603 units. Recommend ordering 1817 units now."
SKU0051,Fashion Item 011,Fashion & Apparel,A,0,0.0,10,91.49,610.1,1195.9,281.0,True,CRITICAL,2373.0,"[CRITICAL] SKU0051 (Fashion Item 011, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 610 units. Recommend ordering 2373 units now."
SKU0059,Fashion Item 019,Fashion & Apparel,A,0,0.0,4,53.89,496.1,323.7,108.2,True,CRITICAL,1384.0,"[CRITICAL] SKU0059 (Fashion Item 019, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 496 units. Recommend ordering 1384 units now."
SKU0062,Fashion Item 022,Fashion & Apparel,A,0,0.0,3,66.57,597.7,309.8,110.1,True,CRITICAL,1562.0,"[CRITICAL] SKU0062 (Fashion Item 022, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 598 units. Recommend ordering 1562 units now."
SKU0063,Fashion Item 023,Fashion & Apparel,A,0,0.0,10,82.64,604.1,1085.2,258.8,True,CRITICAL,2330.0,"[CRITICAL] SKU0063 (Fashion Item 023, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 604 units. Recommend ordering 2330 units now."
SKU0066,Fashion Item 026,Fashion & Apparel,A,73,0.8,7,89.69,607.3,866.5,238.6,True,CRITICAL,1987.0,"[CRITICAL] SKU0066 (Fashion Item 026, Fashion & Apparel, Class A): 73 units on hand = 0.8 days of cover vs 7-day lead time. Forecasted demand next week: 607 units. Recommend ordering 1987 units now."
SKU0068,Fashion Item 028,Fashion & Apparel,A,29,0.4,14,80.67,603.8,1439.3,309.9,True,CRITICAL,2696.0,"[CRITICAL] SKU0068 (Fashion Item 028, Fashion & Apparel, Class A): 29 units on hand = 0.4 days of cover vs 14-day lead time. Forecasted demand next week: 604 units. Recommend ordering 2696 units now."
SKU0071,Fashion Item 031,Fashion & Apparel,A,0,0.0,5,63.92,507.3,450.9,131.3,True,CRITICAL,1508.0,"[CRITICAL] SKU0071 (Fashion Item 031, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 507 units. Recommend ordering 1508 units now."
SKU0072,Fashion Item 032,Fashion & Apparel,A,0,0.0,10,72.54,598.8,953.1,227.7,True,CRITICAL,2281.0,"[CRITICAL] SKU0072 (Fashion Item 032, Fashion & Apparel, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 599 units. Recommend ordering 2281 units now."
SKU0076,Home Item 001,Home & Kitchen,A,0,0.0,10,44.48,414.6,580.9,136.1,True,CRITICAL,1558.0,"[CRITICAL] SKU0076 (Home Item 001, Home & Kitchen, Class A): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 415 units. Recommend ordering 1558 units now."
SKU0077,Home Item 002,Home & Kitchen,A,42,0.8,14,52.79,478.1,951.5,212.4,True,CRITICAL,2083.0,"[CRITICAL] SKU0077 (Home Item 002, Home & Kitchen, Class A): 42 units on hand = 0.8 days of cover vs 14-day lead time. Forecasted demand next week: 478 units. Recommend ordering 2083 units now."
SKU0083,Home Item 008,Home & Kitchen,A,0,0.0,3,47.84,365.2,234.0,90.4,True,CRITICAL,977.0,"[CRITICAL] SKU0083 (Home Item 008, Home & Kitchen, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 365 units. Recommend ordering 977 units now."
SKU0087,Home Item 012,Home & Kitchen,A,0,0.0,3,48.13,457.2,229.8,85.4,True,CRITICAL,1196.0,"[CRITICAL] SKU0087 (Home Item 012, Home & Kitchen, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 457 units. Recommend ordering 1196 units now."
SKU0089,Home Item 014,Home & Kitchen,A,50,1.2,4,42.99,396.2,250.5,78.5,True,CRITICAL,1047.0,"[CRITICAL] SKU0089 (Home Item 014, Home & Kitchen, Class A): 50 units on hand = 1.2 days of cover vs 4-day lead time. Forecasted demand next week: 396 units. Recommend ordering 1047 units now."
SKU0094,Home Item 019,Home & Kitchen,A,60,1.9,4,31.17,266.5,189.8,65.1,True,CRITICAL,690.0,"[CRITICAL] SKU0094 (Home Item 019, Home & Kitchen, Class A): 60 units on hand = 1.9 days of cover vs 4-day lead time. Forecasted demand next week: 266 units. Recommend ordering 690 units now."
SKU0098,Home Item 023,Home & Kitchen,A,0,0.0,5,47.18,453.0,344.5,108.6,True,CRITICAL,1338.0,"[CRITICAL] SKU0098 (Home Item 023, Home & Kitchen, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 453 units. Recommend ordering 1338 units now."
SKU0104,Home Item 029,Home & Kitchen,A,27,0.7,7,38.74,391.7,375.0,103.9,True,CRITICAL,1252.0,"[CRITICAL] SKU0104 (Home Item 029, Home & Kitchen, Class A): 27 units on hand = 0.7 days of cover vs 7-day lead time. Forecasted demand next week: 392 units. Recommend ordering 1252 units now."
SKU0105,Home Item 030,Home & Kitchen,A,0,0.0,5,34.69,287.6,255.0,81.5,True,CRITICAL,862.0,"[CRITICAL] SKU0105 (Home Item 030, Home & Kitchen, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 288 units. Recommend ordering 862 units now."
SKU0128,Beauty Item 023,Beauty & Personal Care,A,0,0.0,3,73.44,600.1,349.4,129.1,True,CRITICAL,1586.0,"[CRITICAL] SKU0128 (Beauty Item 023, Beauty & Personal Care, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 600 units. Recommend ordering 1586 units now."
SKU0004,Mobiles Item 004,Mobiles & Accessories,B,0,0.0,3,14.69,113.4,67.1,23.0,True,CRITICAL,298.0,"[CRITICAL] SKU0004 (Mobiles Item 004, Mobiles & Accessories, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 113 units. Recommend ordering 298 units now."
SKU0033,Electronics Item 013,Electronics & Appliances,B,0,0.0,3,9.17,75.6,42.8,15.3,True,CRITICAL,199.0,"[CRITICAL] SKU0033 (Electronics Item 013, Electronics & Appliances, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 76 units. Recommend ordering 199 units now."
SKU0039,Electronics Item 019,Electronics & Appliances,B,0,0.0,3,15.59,117.1,72.2,25.4,True,CRITICAL,310.0,"[CRITICAL] SKU0039 (Electronics Item 019, Electronics & Appliances, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 117 units. Recommend ordering 310 units now."
SKU0042,Fashion Item 002,Fashion & Apparel,B,0,0.0,5,25.87,196.7,179.9,50.5,True,CRITICAL,584.0,"[CRITICAL] SKU0042 (Fashion Item 002, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 197 units. Recommend ordering 584 units now."
SKU0047,Fashion Item 007,Fashion & Apparel,B,0,0.0,3,40.19,335.1,174.6,54.1,True,CRITICAL,868.0,"[CRITICAL] SKU0047 (Fashion Item 007, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 335 units. Recommend ordering 868 units now."
SKU0048,Fashion Item 008,Fashion & Apparel,B,0,0.0,10,57.59,499.4,726.4,150.5,True,CRITICAL,1863.0,"[CRITICAL] SKU0048 (Fashion Item 008, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 499 units. Recommend ordering 1863 units now."
SKU0056,Fashion Item 016,Fashion & Apparel,B,30,0.9,7,34.9,315.1,323.6,79.3,True,CRITICAL,995.0,"[CRITICAL] SKU0056 (Fashion Item 016, Fashion & Apparel, Class B): 30 units on hand = 0.9 days of cover vs 7-day lead time. Forecasted demand next week: 315 units. Recommend ordering 995 units now."
SKU0060,Fashion Item 020,Fashion & Apparel,B,0,0.0,5,62.51,596.7,421.6,109.0,True,CRITICAL,1729.0,"[CRITICAL] SKU0060 (Fashion Item 020, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 597 units. Recommend ordering 1729 units now."
SKU0061,Fashion Item 021,Fashion & Apparel,B,0,0.0,4,47.24,455.1,264.2,75.2,True,CRITICAL,1245.0,"[CRITICAL] SKU0061 (Fashion Item 021, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 455 units. Recommend ordering 1245 units now."
SKU0067,Fashion Item 027,Fashion & Apparel,B,0,0.0,4,31.16,254.6,174.6,50.0,True,CRITICAL,705.0,"[CRITICAL] SKU0067 (Fashion Item 027, Fashion & Apparel, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 255 units. Recommend ordering 705 units now."
SKU0075,Fashion Item 035,Fashion & Apparel,B,54,0.9,14,63.21,591.4,1089.5,204.5,True,CRITICAL,2516.0,"[CRITICAL] SKU0075 (Fashion Item 035, Fashion & Apparel, Class B): 54 units on hand = 0.9 days of cover vs 14-day lead time. Forecasted demand next week: 591 units. Recommend ordering 2516 units now."
SKU0082,Home Item 007,Home & Kitchen,B,0,0.0,10,18.14,168.1,225.9,44.5,True,CRITICAL,621.0,"[CRITICAL] SKU0082 (Home Item 007, Home & Kitchen, Class B): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 168 units. Recommend ordering 621 units now."
SKU0085,Home Item 010,Home & Kitchen,B,0,0.0,10,25.36,204.0,327.4,73.8,True,CRITICAL,773.0,"[CRITICAL] SKU0085 (Home Item 010, Home & Kitchen, Class B): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 204 units. Recommend ordering 773 units now."
SKU0088,Home Item 013,Home & Kitchen,B,0,0.0,3,20.76,174.7,88.9,26.6,True,CRITICAL,451.0,"[CRITICAL] SKU0088 (Home Item 013, Home & Kitchen, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 175 units. Recommend ordering 451 units now."
SKU0100,Home Item 025,Home & Kitchen,B,0,0.0,3,27.21,225.1,120.4,38.8,True,CRITICAL,585.0,"[CRITICAL] SKU0100 (Home Item 025, Home & Kitchen, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 225 units. Recommend ordering 585 units now."
SKU0103,Home Item 028,Home & Kitchen,B,0,0.0,10,13.04,100.9,164.9,34.5,True,CRITICAL,380.0,"[CRITICAL] SKU0103 (Home Item 028, Home & Kitchen, Class B): 0 units on hand = 0.0 days of cover vs 10-day lead time. Forecasted demand next week: 101 units. Recommend ordering 380 units now."
SKU0106,Beauty Item 001,Beauty & Personal Care,B,0,0.0,4,40.51,337.2,227.6,65.6,True,CRITICAL,933.0,"[CRITICAL] SKU0106 (Beauty Item 001, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 337 units. Recommend ordering 933 units now."
SKU0107,Beauty Item 002,Beauty & Personal Care,B,0,0.0,4,68.93,601.7,388.3,112.6,True,CRITICAL,1660.0,"[CRITICAL] SKU0107 (Beauty Item 002, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 602 units. Recommend ordering 1660 units now."
SKU0109,Beauty Item 004,Beauty & Personal Care,B,58,1.0,7,59.59,506.7,549.5,132.4,True,CRITICAL,1594.0,"[CRITICAL] SKU0109 (Beauty Item 004, Beauty & Personal Care, Class B): 58 units on hand = 1.0 days of cover vs 7-day lead time. Forecasted demand next week: 507 units. Recommend ordering 1594 units now."
SKU0110,Beauty Item 005,Beauty & Personal Care,B,18,0.7,7,26.9,225.8,248.6,60.3,True,CRITICAL,720.0,"[CRITICAL] SKU0110 (Beauty Item 005, Beauty & Personal Care, Class B): 18 units on hand = 0.7 days of cover vs 7-day lead time. Forecasted demand next week: 226 units. Recommend ordering 720 units now."
SKU0111,Beauty Item 006,Beauty & Personal Care,B,0,0.0,3,38.98,340.7,168.3,51.3,True,CRITICAL,879.0,"[CRITICAL] SKU0111 (Beauty Item 006, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 341 units. Recommend ordering 879 units now."
SKU0112,Beauty Item 007,Beauty & Personal Care,B,0,0.0,4,27.21,231.7,155.3,46.4,True,CRITICAL,642.0,"[CRITICAL] SKU0112 (Beauty Item 007, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 232 units. Recommend ordering 642 units now."
SKU0118,Beauty Item 013,Beauty & Personal Care,B,0,0.0,3,61.43,504.3,269.5,85.2,True,CRITICAL,1310.0,"[CRITICAL] SKU0118 (Beauty Item 013, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 504 units. Recommend ordering 1310 units now."
SKU0119,Beauty Item 014,Beauty & Personal Care,B,0,0.0,4,40.84,395.1,230.4,67.1,True,CRITICAL,1083.0,"[CRITICAL] SKU0119 (Beauty Item 014, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 395 units. Recommend ordering 1083 units now."
SKU0120,Beauty Item 015,Beauty & Personal Care,B,0,0.0,3,47.6,453.7,208.9,66.1,True,CRITICAL,1168.0,"[CRITICAL] SKU0120 (Beauty Item 015, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 454 units. Recommend ordering 1168 units now."
SKU0121,Beauty Item 016,Beauty & Personal Care,B,0,0.0,4,47.53,456.0,266.3,76.2,True,CRITICAL,1249.0,"[CRITICAL] SKU0121 (Beauty Item 016, Beauty & Personal Care, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 456 units. Recommend ordering 1249 units now."
SKU0124,Beauty Item 019,Beauty & Personal Care,B,58,0.8,7,76.03,603.8,695.6,163.4,True,CRITICAL,1917.0,"[CRITICAL] SKU0124 (Beauty Item 019, Beauty & Personal Care, Class B): 58 units on hand = 0.8 days of cover vs 7-day lead time. Forecasted demand next week: 604 units. Recommend ordering 1917 units now."
SKU0134,Grocery Item 004,Grocery & Essentials,B,97,1.1,7,88.36,600.7,799.3,180.7,True,CRITICAL,1886.0,"[CRITICAL] SKU0134 (Grocery Item 004, Grocery & Essentials, Class B): 97 units on hand = 1.1 days of cover vs 7-day lead time. Forecasted demand next week: 601 units. Recommend ordering 1886 units now."
SKU0136,Grocery Item 006,Grocery & Essentials,B,0,0.0,4,65.47,504.6,372.0,110.2,True,CRITICAL,1408.0,"[CRITICAL] SKU0136 (Grocery Item 006, Grocery & Essentials, Class B): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 505 units. Recommend ordering 1408 units now."
SKU0137,Grocery Item 007,Grocery & Essentials,B,17,0.1,14,121.74,903.1,2078.7,374.4,True,CRITICAL,3970.0,"[CRITICAL] SKU0137 (Grocery Item 007, Grocery & Essentials, Class B): 17 units on hand = 0.1 days of cover vs 14-day lead time. Forecasted demand next week: 903 units. Recommend ordering 3970 units now."
SKU0141,Grocery Item 011,Grocery & Essentials,B,140,1.1,14,129.57,906.6,2195.7,381.7,True,CRITICAL,3868.0,"[CRITICAL] SKU0141 (Grocery Item 011, Grocery & Essentials, Class B): 140 units on hand = 1.1 days of cover vs 14-day lead time. Forecasted demand next week: 907 units. Recommend ordering 3868 units now."
SKU0143,Grocery Item 013,Grocery & Essentials,B,0,0.0,14,139.01,908.1,2356.0,409.8,True,CRITICAL,4042.0,"[CRITICAL] SKU0143 (Grocery Item 013, Grocery & Essentials, Class B): 0 units on hand = 0.0 days of cover vs 14-day lead time. Forecasted demand next week: 908 units. Recommend ordering 4042 units now."
SKU0145,Grocery Item 015,Grocery & Essentials,B,104,1.6,7,64.46,591.1,582.5,131.3,True,CRITICAL,1801.0,"[CRITICAL] SKU0145 (Grocery Item 015, Grocery & Essentials, Class B): 104 units on hand = 1.6 days of cover vs 7-day lead time. Forecasted demand next week: 591 units. Recommend ordering 1801 units now."
SKU0147,Grocery Item 017,Grocery & Essentials,B,55,0.5,7,100.23,607.6,917.0,215.4,True,CRITICAL,1983.0,"[CRITICAL] SKU0147 (Grocery Item 017, Grocery & Essentials, Class B): 55 units on hand = 0.5 days of cover vs 7-day lead time. Forecasted demand next week: 608 units. Recommend ordering 1983 units now."
SKU0016,Mobiles Item 016,Mobiles & Accessories,C,0,0.0,4,13.93,108.7,75.5,19.8,True,CRITICAL,299.0,"[CRITICAL] SKU0016 (Mobiles Item 016, Mobiles & Accessories, Class C): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 109 units. Recommend ordering 299 units now."
SKU0034,Electronics Item 014,Electronics & Appliances,C,8,1.4,5,5.53,47.9,36.6,9.0,True,CRITICAL,131.0,"[CRITICAL] SKU0034 (Electronics Item 014, Electronics & Appliances, Class C): 8 units on hand = 1.4 days of cover vs 5-day lead time. Forecasted demand next week: 48 units. Recommend ordering 131 units now."
SKU0044,Fashion Item 004,Fashion & Apparel,C,0,0.0,5,22.93,191.6,149.8,35.2,True,CRITICAL,555.0,"[CRITICAL] SKU0044 (Fashion Item 004, Fashion & Apparel, Class C): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 192 units. Recommend ordering 555 units now."
SKU0046,Fashion Item 006,Fashion & Apparel,C,0,0.0,4,65.66,596.6,348.8,86.1,True,CRITICAL,1620.0,"[CRITICAL] SKU0046 (Fashion Item 006, Fashion & Apparel, Class C): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 597 units. Recommend ordering 1620 units now."
SKU0050,Fashion Item 010,Fashion & Apparel,C,0,0.0,3,79.48,603.1,321.3,82.8,True,CRITICAL,1547.0,"[CRITICAL] SKU0050 (Fashion Item 010, Fashion & Apparel, Class C): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 603 units. Recommend ordering 1547 units now."
SKU0055,Fashion Item 015,Fashion & Apparel,C,0,0.0,4,24.37,203.4,130.5,33.0,True,CRITICAL,556.0,"[CRITICAL] SKU0055 (Fashion Item 015, Fashion & Apparel, Class C): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 203 units. Recommend ordering 556 units now."
